Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4392684k free), swap 16212796k(12088928k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T01:33:05.561+0800: 40.173: [GC (Allocation Failure) 2020-10-27T01:33:05.561+0800: 40.173: [DefNew: 33949K->25K(38144K), 0.0032790 secs] 57931K->24007K(122816K), 0.0033739 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:06.249+0800: 40.862: [GC (Allocation Failure) 2020-10-27T01:33:06.250+0800: 40.862: [DefNew: 33939K->39K(38144K), 0.0034591 secs] 57921K->24021K(122816K), 0.0035662 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:06.907+0800: 41.519: [GC (Allocation Failure) 2020-10-27T01:33:06.907+0800: 41.519: [DefNew: 33959K->26K(38144K), 0.0032018 secs] 57941K->24009K(122816K), 0.0033096 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:07.568+0800: 42.180: [GC (Allocation Failure) 2020-10-27T01:33:07.568+0800: 42.180: [DefNew: 33946K->26K(38144K), 0.0032008 secs] 57929K->24009K(122816K), 0.0033047 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:08.215+0800: 42.828: [GC (Allocation Failure) 2020-10-27T01:33:08.215+0800: 42.828: [DefNew: 33946K->38K(38144K), 0.0028754 secs] 57929K->24021K(122816K), 0.0029453 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:08.840+0800: 43.452: [GC (Allocation Failure) 2020-10-27T01:33:08.840+0800: 43.452: [DefNew: 33958K->39K(38144K), 0.0031719 secs] 57941K->24021K(122816K), 0.0032727 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:09.527+0800: 44.140: [GC (Allocation Failure) 2020-10-27T01:33:09.527+0800: 44.140: [DefNew: 33959K->24K(38144K), 0.0028902 secs] 57941K->24007K(122816K), 0.0029880 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:10.157+0800: 44.784: [GC (Allocation Failure) 2020-10-27T01:33:10.157+0800: 44.784: [DefNew: 33944K->38K(38144K), 0.0036406 secs] 57927K->24021K(122816K), 0.0037429 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T01:33:10.798+0800: 45.415: [GC (Allocation Failure) 2020-10-27T01:33:10.798+0800: 45.415: [DefNew: 33958K->23K(38144K), 0.0030015 secs] 57941K->24006K(122816K), 0.0031006 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:11.407+0800: 46.033: [GC (Allocation Failure) 2020-10-27T01:33:11.407+0800: 46.033: [DefNew: 33943K->33K(38144K), 0.0032358 secs] 57926K->24018K(122816K), 0.0033320 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
