Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4598516k free), swap 16212796k(12511320k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-27T00:12:37.086+0800: 0.613: [Full GC (Ergonomics) [PSYoungGen: 14513K->14209K(29184K)] [ParOldGen: 87382K->87382K(87552K)] 101895K->101591K(116736K), [Metaspace: 2647K->2647K(1056768K)], 0.0022533 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:37.086+0800: 0.616: [Full GC (Allocation Failure) [PSYoungGen: 14209K->14209K(29184K)] [ParOldGen: 87382K->87363K(87552K)] 101591K->101572K(116736K), [Metaspace: 2647K->2647K(1056768K)], 0.0282759 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
Heap
 PSYoungGen      total 29184K, used 14525K [0x00000000fd580000, 0x0000000100000000, 0x0000000100000000)
  eden space 14848K, 97% used [0x00000000fd580000,0x00000000fe3af6a0,0x00000000fe400000)
  from space 14336K, 0% used [0x00000000ff200000,0x00000000ff200000,0x0000000100000000)
  to   space 14336K, 0% used [0x00000000fe400000,0x00000000fe400000,0x00000000ff200000)
 ParOldGen       total 87552K, used 87363K [0x00000000f8000000, 0x00000000fd580000, 0x00000000fd580000)
  object space 87552K, 99% used [0x00000000f8000000,0x00000000fd550c68,0x00000000fd580000)
 Metaspace       used 2677K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 294K, capacity 386K, committed 512K, reserved 1048576K
