Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4499900k free), swap 16212796k(12157380k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T01:18:40.005+0800: 24.216: [GC (Allocation Failure) 2020-10-27T01:18:40.005+0800: 24.216: [DefNew: 34460K->527K(38144K), 0.0060959 secs] 57999K->24067K(122816K), 0.0062011 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:40.614+0800: 24.825: [GC (Allocation Failure) 2020-10-27T01:18:40.614+0800: 24.825: [DefNew: 34447K->527K(38144K), 0.0074810 secs] 57987K->24067K(122816K), 0.0075951 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:41.205+0800: 25.416: [GC (Allocation Failure) 2020-10-27T01:18:41.206+0800: 25.416: [DefNew: 34447K->526K(38144K), 0.0058114 secs] 57987K->24066K(122816K), 0.0059221 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:41.784+0800: 25.995: [GC (Allocation Failure) 2020-10-27T01:18:41.784+0800: 25.995: [DefNew: 34443K->142K(38144K), 0.0056141 secs] 57983K->24081K(122816K), 0.0056963 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:42.315+0800: 26.532: [GC (Allocation Failure) 2020-10-27T01:18:42.315+0800: 26.532: [DefNew: 34062K->110K(38144K), 0.0048876 secs] 58001K->24068K(122816K), 0.0050043 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:42.878+0800: 27.094: [GC (Allocation Failure) 2020-10-27T01:18:42.878+0800: 27.094: [DefNew: 34027K->94K(38144K), 0.0041452 secs] 57985K->24069K(122816K), 0.0042343 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:43.591+0800: 27.801: [GC (Allocation Failure) 2020-10-27T01:18:43.591+0800: 27.801: [DefNew: 34014K->78K(38144K), 0.0041014 secs] 57989K->24066K(122816K), 0.0042300 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:44.337+0800: 28.547: [GC (Allocation Failure) 2020-10-27T01:18:44.337+0800: 28.547: [DefNew: 33998K->74K(38144K), 0.0040609 secs] 57986K->24069K(122816K), 0.0041575 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:44.900+0800: 29.113: [GC (Allocation Failure) 2020-10-27T01:18:44.900+0800: 29.113: [DefNew: 33994K->52K(38144K), 0.0035462 secs] 57989K->24068K(122816K), 0.0036444 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:45.459+0800: 29.669: [GC (Allocation Failure) 2020-10-27T01:18:45.459+0800: 29.669: [DefNew: 33972K->54K(38144K), 0.0042463 secs] 57988K->24081K(122816K), 0.0043589 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
